Category,CategoryLevel1,CategoryLevel2,Legend,LegendLevel1,LegendLevel2,Group,GroupLevel1,GroupLevel2,Start,End,StartDate,EndDate,StartHierarchy,EndHierarchy,StartLabel,EndLabel
Deccan Empire 053,Medieval,Deccan Empire,Middle East,Afro Eurasia,Near East,MEDIEVAL WORLD,Medieval,Core,1356,1361,1356-05-06,1361-12-10,1356 Q2,1361 Q4,1356-05,1361-12
Bengal Maritime League 054,Medieval,Bengal Maritime League,Sub Saharan Africa,Africa,Central and Southern Africa,MEDIEVAL WORLD,Medieval,Late,1360,1366,1360-12-17,1366-08-29,1360 Q4,1366 Q3,1360-12,1366-08
Malay Sultanate 055,Medieval,Malay Sultanate,Steppe,Eurasia,Inner Eurasia,MEDIEVAL WORLD,Medieval,Early,1363,1369,1363-07-01,1369-04-18,1363 Q3,1369 Q2,1363-07,1369-04
Javan Principalities 056,Medieval,Javan Principalities,Oceania,Pacific,Austral Pacific,MEDIEVAL WORLD,Medieval,Core,1367,1373,1367-02-12,1373-01-06,1367 Q1,1373 Q1,1367-02,1373-01
Austral Dominion 057,Medieval,Austral Dominion,Americas,Americas,Western Hemisphere,MEDIEVAL WORLD,Medieval,Late,1370,1376,1370-09-23,1376-09-23,1370 Q3,1376 Q3,1370-09,1376-09
Pacific Archipelago Council 058,Medieval,Pacific Archipelago Council,Europe,Europe,Western Eurasia,MEDIEVAL WORLD,Medieval,Early,1373,1373,1373-04-07,1373-08-14,1373 Q2,1373 Q3,1373-04,1373-08
Baltic Trade Union 059,Medieval,Baltic Trade Union,East Asia,Asia,Eastern Asia,MEDIEVAL WORLD,Medieval,Core,1377,1378,1377-11-18,1378-05-03,1377 Q4,1378 Q2,1377-11,1378-05
Rhine Compact 060,Medieval,Rhine Compact,South Asia,Asia,Indian Subcontinent,MEDIEVAL WORLD,Medieval,Late,1380,1380,1380-06-02,1380-12-22,1380 Q2,1380 Q4,1380-06,1380-12
Anatolian League 061,Medieval,Anatolian League,Middle East,Afro Eurasia,Near East,MEDIEVAL WORLD,Medieval,Early,1384,1384,1384-01-13,1384-09-09,1384 Q1,1384 Q3,1384-01,1384-09
Atlantic Republic 062,Medieval,Atlantic Republic,Sub Saharan Africa,Africa,Central and Southern Africa,MEDIEVAL WORLD,Medieval,Core,1387,1388,1387-08-24,1388-05-27,1387 Q3,1388 Q2,1387-08,1388-05
Carpathian Kingdom 063,Medieval,Carpathian Kingdom,Steppe,Eurasia,Inner Eurasia,MEDIEVAL WORLD,Medieval,Late,1390,1391,1390-03-08,1391-01-16,1390 Q1,1391 Q1,1390-03,1391-01
Danube Federation 064,Medieval,Danube Federation,Oceania,Pacific,Austral Pacific,MEDIEVAL WORLD,Medieval,Early,1394,1395,1394-10-19,1395-10-05,1394 Q4,1395 Q4,1394-10,1395-10
Eurasian Khanate 065,Medieval,Eurasian Khanate,Americas,Americas,Western Hemisphere,MEDIEVAL WORLD,Medieval,Core,1397,1398,1397-05-03,1398-05-26,1397 Q2,1398 Q2,1397-05,1398-05
Hellenic Commonwealth 066,Medieval,Hellenic Commonwealth,Europe,Europe,Western Eurasia,MEDIEVAL WORLD,Medieval,Late,1401,1403,1401-12-14,1403-02-12,1401 Q4,1403 Q1,1401-12,1403-02
Iberian Crown 067,Medieval,Iberian Crown,East Asia,Asia,Eastern Asia,MEDIEVAL WORLD,Medieval,Early,1404,1405,1404-07-25,1405-10-30,1404 Q3,1405 Q4,1404-07,1405-10
Levantine Sultanate 068,Medieval,Levantine Sultanate,South Asia,Asia,Indian Subcontinent,MEDIEVAL WORLD,Medieval,Core,1407,1408,1407-02-09,1408-06-22,1407 Q1,1408 Q2,1407-02,1408-06
Maghreb Union 069,Medieval,Maghreb Union,Middle East,Afro Eurasia,Near East,MEDIEVAL WORLD,Medieval,Late,1411,1413,1411-09-20,1413-03-09,1411 Q3,1413 Q1,1411-09,1413-03
Nile Dynasty 070,Medieval,Nile Dynasty,Sub Saharan Africa,Africa,Central and Southern Africa,MEDIEVAL WORLD,Medieval,Early,1414,1415,1414-04-04,1415-10-29,1414 Q2,1415 Q4,1414-04,1415-10
Nordic Pact 071,Medieval,Nordic Pact,Steppe,Eurasia,Inner Eurasia,MEDIEVAL WORLD,Medieval,Core,1418,1420,1418-11-15,1420-07-17,1418 Q4,1420 Q3,1418-11,1420-07
Persian Alliance 072,Medieval,Persian Alliance,Oceania,Pacific,Austral Pacific,MEDIEVAL WORLD,Medieval,Late,1421,1423,1421-06-26,1423-04-04,1421 Q2,1423 Q2,1421-06,1423-04
Saharan Confederacy 073,Medieval,Saharan Confederacy,Americas,Americas,Western Hemisphere,MEDIEVAL WORLD,Medieval,Early,1424,1425,1424-01-10,1425-11-24,1424 Q1,1425 Q4,1424-01,1425-11
Silk Road Polity 074,Medieval,Silk Road Polity,Europe,Europe,Western Eurasia,MEDIEVAL WORLD,Medieval,Core,1428,1430,1428-08-21,1430-08-12,1428 Q3,1430 Q3,1428-08,1430-08
Steppe Horde 075,Medieval,Steppe Horde,East Asia,Asia,Eastern Asia,MEDIEVAL WORLD,Medieval,Late,1431,1433,1431-03-05,1433-04-01,1431 Q1,1433 Q2,1431-03,1433-04
Andean State 076,Medieval,Andean State,South Asia,Asia,Indian Subcontinent,MEDIEVAL WORLD,Medieval,Early,1435,1437,1435-10-16,1437-12-19,1435 Q4,1437 Q4,1435-10,1437-12
Amazonian Realm 077,Medieval,Amazonian Realm,Middle East,Afro Eurasia,Near East,MEDIEVAL WORLD,Medieval,Core,1438,1440,1438-05-27,1440-09-05,1438 Q2,1440 Q3,1438-05,1440-09
Mississippian Coalition 078,Medieval,Mississippian Coalition,Sub Saharan Africa,Africa,Central and Southern Africa,MEDIEVAL WORLD,Medieval,Late,1441,1444,1441-12-11,1444-04-28,1441 Q4,1444 Q2,1441-12,1444-04
Mesoamerican Alliance 079,Medieval,Mesoamerican Alliance,Steppe,Eurasia,Inner Eurasia,MEDIEVAL WORLD,Medieval,Early,1445,1448,1445-07-22,1448-01-14,1445 Q3,1448 Q1,1445-07,1448-01
Caribbean Domain 080,Medieval,Caribbean Domain,Oceania,Pacific,Austral Pacific,MEDIEVAL WORLD,Medieval,Core,1448,1450,1448-02-06,1450-09-06,1448 Q1,1450 Q3,1448-02,1450-09
Han Revival 081,Medieval,Han Revival,Americas,Americas,Western Hemisphere,MEDIEVAL WORLD,Medieval,Late,1452,1455,1452-09-17,1455-05-25,1452 Q3,1455 Q2,1452-09,1455-05
Yamato Shogunate 082,Medieval,Yamato Shogunate,Europe,Europe,Western Eurasia,MEDIEVAL WORLD,Medieval,Early,1455,1458,1455-04-01,1458-01-12,1455 Q2,1458 Q1,1455-04,1458-01
Deccan Empire 083,Medieval,Deccan Empire,East Asia,Asia,Eastern Asia,MEDIEVAL WORLD,Medieval,Core,1458,1461,1458-11-12,1461-10-01,1458 Q4,1461 Q4,1458-11,1461-10
Bengal Maritime League 084,Medieval,Bengal Maritime League,South Asia,Asia,Indian Subcontinent,MEDIEVAL WORLD,Medieval,Late,1462,1465,1462-06-23,1465-06-18,1462 Q2,1465 Q2,1462-06,1465-06
Malay Sultanate 085,Medieval,Malay Sultanate,Middle East,Afro Eurasia,Near East,MEDIEVAL WORLD,Medieval,Early,1465,1468,1465-01-07,1468-02-09,1465 Q1,1468 Q1,1465-01,1468-02
Javan Principalities 086,Medieval,Javan Principalities,Sub Saharan Africa,Africa,Central and Southern Africa,MEDIEVAL WORLD,Medieval,Core,1469,1472,1469-08-18,1472-10-26,1469 Q3,1472 Q4,1469-08,1472-10
Austral Dominion 087,Medieval,Austral Dominion,Steppe,Eurasia,Inner Eurasia,MEDIEVAL WORLD,Medieval,Late,1472,1475,1472-03-02,1475-06-17,1472 Q1,1475 Q2,1472-03,1475-06
Pacific Archipelago Council 088,Medieval,Pacific Archipelago Council,Oceania,Pacific,Austral Pacific,MEDIEVAL WORLD,Medieval,Early,1475,1479,1475-10-13,1479-03-05,1475 Q4,1479 Q1,1475-10,1479-03
Baltic Trade Union 089,Medieval,Baltic Trade Union,Americas,Americas,Western Hemisphere,MEDIEVAL WORLD,Medieval,Core,1479,1482,1479-05-24,1482-11-20,1479 Q2,1482 Q4,1479-05,1482-11
Rhine Compact 090,Medieval,Rhine Compact,Europe,Europe,Western Eurasia,MEDIEVAL WORLD,Medieval,Late,1482,1486,1482-12-08,1486-07-13,1482 Q4,1486 Q3,1482-12,1486-07
Anatolian League 091,Medieval,Anatolian League,East Asia,Asia,Eastern Asia,MEDIEVAL WORLD,Medieval,Early,1486,1490,1486-07-19,1490-03-30,1486 Q3,1490 Q1,1486-07,1490-03
Atlantic Republic 092,Medieval,Atlantic Republic,South Asia,Asia,Indian Subcontinent,MEDIEVAL WORLD,Medieval,Core,1489,1492,1489-02-03,1492-11-21,1489 Q1,1492 Q4,1489-02,1492-11
Carpathian Kingdom 093,Medieval,Carpathian Kingdom,Middle East,Afro Eurasia,Near East,MEDIEVAL WORLD,Medieval,Late,1492,1496,1492-09-14,1496-08-08,1492 Q3,1496 Q3,1492-09,1496-08
Danube Federation 094,Medieval,Danube Federation,Sub Saharan Africa,Africa,Central and Southern Africa,MEDIEVAL WORLD,Medieval,Early,1496,1500,1496-04-25,1500-04-26,1496 Q2,1500 Q2,1496-04,1500-04
Eurasian Khanate 095,Medieval,Eurasian Khanate,Steppe,Eurasia,Inner Eurasia,MEDIEVAL WORLD,Medieval,Core,1499,1503,1499-11-09,1503-12-17,1499 Q4,1503 Q4,1499-11,1503-12
Hellenic Commonwealth 096,Early Modern,Hellenic Commonwealth,Oceania,Pacific,Austral Pacific,EARLY MODERN WORLD,Early Modern,Late,1503,1507,1503-06-20,1507-09-02,1503 Q2,1507 Q3,1503-06,1507-09
Iberian Crown 097,Early Modern,Iberian Crown,Americas,Americas,Western Hemisphere,EARLY MODERN WORLD,Early Modern,Early,1506,1510,1506-01-04,1510-04-25,1506 Q1,1510 Q2,1506-01,1510-04
Levantine Sultanate 098,Early Modern,Levantine Sultanate,Europe,Europe,Western Eurasia,EARLY MODERN WORLD,Early Modern,Middle,1509,1514,1509-08-15,1514-01-10,1509 Q3,1514 Q1,1509-08,1514-01
Maghreb Union 099,Early Modern,Maghreb Union,East Asia,Asia,Eastern Asia,EARLY MODERN WORLD,Early Modern,Late,1513,1517,1513-03-26,1517-09-27,1513 Q1,1517 Q3,1513-03,1517-09
Nile Dynasty 100,Early Modern,Nile Dynasty,South Asia,Asia,Indian Subcontinent,EARLY MODERN WORLD,Early Modern,Early,1516,1521,1516-10-10,1521-05-20,1516 Q4,1521 Q2,1516-10,1521-05
Nordic Pact 101,Early Modern,Nordic Pact,Middle East,Afro Eurasia,Near East,EARLY MODERN WORLD,Early Modern,Middle,1520,1525,1520-05-21,1525-02-04,1520 Q2,1525 Q1,1520-05,1525-02
Persian Alliance 102,Early Modern,Persian Alliance,Sub Saharan Africa,Africa,Central and Southern Africa,EARLY MODERN WORLD,Early Modern,Late,1523,1528,1523-12-05,1528-09-26,1523 Q4,1528 Q3,1523-12,1528-09
Saharan Confederacy 103,Early Modern,Saharan Confederacy,Steppe,Eurasia,Inner Eurasia,EARLY MODERN WORLD,Early Modern,Early,1526,1531,1526-07-16,1531-06-14,1526 Q3,1531 Q2,1526-07,1531-06
Silk Road Polity 104,Early Modern,Silk Road Polity,Oceania,Pacific,Austral Pacific,EARLY MODERN WORLD,Early Modern,Middle,1530,1535,1530-02-27,1535-03-04,1530 Q1,1535 Q1,1530-02,1535-03
Steppe Horde 105,Early Modern,Steppe Horde,Americas,Americas,Western Hemisphere,EARLY MODERN WORLD,Early Modern,Late,1533,1538,1533-09-11,1538-10-23,1533 Q3,1538 Q4,1533-09,1538-10
Andean State 106,Early Modern,Andean State,Europe,Europe,Western Eurasia,EARLY MODERN WORLD,Early Modern,Early,1537,1542,1537-04-22,1542-07-10,1537 Q2,1542 Q3,1537-04,1542-07
Amazonian Realm 107,Early Modern,Amazonian Realm,East Asia,Asia,Eastern Asia,EARLY MODERN WORLD,Early Modern,Middle,1540,1546,1540-11-06,1546-03-02,1540 Q4,1546 Q1,1540-11,1546-03
Mississippian Coalition 108,Early Modern,Mississippian Coalition,South Asia,Asia,Indian Subcontinent,EARLY MODERN WORLD,Early Modern,Late,1543,1548,1543-06-17,1548-11-16,1543 Q2,1548 Q4,1543-06,1548-11
Mesoamerican Alliance 109,Early Modern,Mesoamerican Alliance,Middle East,Afro Eurasia,Near East,EARLY MODERN WORLD,Early Modern,Early,1547,1552,1547-01-01,1552-07-09,1547 Q1,1552 Q3,1547-01,1552-07
Caribbean Domain 110,Early Modern,Caribbean Domain,Sub Saharan Africa,Africa,Central and Southern Africa,EARLY MODERN WORLD,Early Modern,Middle,1550,1556,1550-08-12,1556-03-26,1550 Q3,1556 Q1,1550-08,1556-03
Han Revival 111,Early Modern,Han Revival,Steppe,Eurasia,Inner Eurasia,EARLY MODERN WORLD,Early Modern,Late,1554,1559,1554-03-23,1559-12-12,1554 Q1,1559 Q4,1554-03,1559-12
Yamato Shogunate 112,Early Modern,Yamato Shogunate,Oceania,Pacific,Austral Pacific,EARLY MODERN WORLD,Early Modern,Early,1557,1563,1557-10-07,1563-08-04,1557 Q4,1563 Q3,1557-10,1563-08
Deccan Empire 113,Early Modern,Deccan Empire,Americas,Americas,Western Hemisphere,EARLY MODERN WORLD,Early Modern,Middle,1560,1566,1560-05-18,1566-04-21,1560 Q2,1566 Q2,1560-05,1566-04
Bengal Maritime League 114,Early Modern,Bengal Maritime League,Europe,Europe,Western Eurasia,EARLY MODERN WORLD,Early Modern,Late,1564,1570,1564-12-02,1570-12-12,1564 Q4,1570 Q4,1564-12,1570-12
Malay Sultanate 115,Early Modern,Malay Sultanate,East Asia,Asia,Eastern Asia,EARLY MODERN WORLD,Early Modern,Early,1567,1567,1567-07-13,1567-11-28,1567 Q3,1567 Q4,1567-07,1567-11
Javan Principalities 116,Early Modern,Javan Principalities,South Asia,Asia,Indian Subcontinent,EARLY MODERN WORLD,Early Modern,Middle,1571,1571,1571-02-24,1571-08-18,1571 Q1,1571 Q3,1571-02,1571-08
Austral Dominion 117,Early Modern,Austral Dominion,Middle East,Afro Eurasia,Near East,EARLY MODERN WORLD,Early Modern,Late,1574,1575,1574-09-08,1575-04-08,1574 Q3,1575 Q2,1574-09,1575-04
Pacific Archipelago Council 118,Early Modern,Pacific Archipelago Council,Sub Saharan Africa,Africa,Central and Southern Africa,EARLY MODERN WORLD,Early Modern,Early,1577,1577,1577-04-19,1577-12-24,1577 Q2,1577 Q4,1577-04,1577-12
Baltic Trade Union 119,Early Modern,Baltic Trade Union,Steppe,Eurasia,Inner Eurasia,EARLY MODERN WORLD,Early Modern,Middle,1581,1582,1581-11-03,1582-08-16,1581 Q4,1582 Q3,1581-11,1582-08
Rhine Compact 120,Early Modern,Rhine Compact,Oceania,Pacific,Austral Pacific,EARLY MODERN WORLD,Early Modern,Late,1584,1585,1584-06-14,1585-05-03,1584 Q2,1585 Q2,1584-06,1585-05
Anatolian League 121,Early Modern,Anatolian League,Americas,Americas,Western Hemisphere,EARLY MODERN WORLD,Early Modern,Early,1588,1589,1588-01-25,1589-01-19,1588 Q1,1589 Q1,1588-01,1589-01
Atlantic Republic 122,Early Modern,Atlantic Republic,Europe,Europe,Western Eurasia,EARLY MODERN WORLD,Early Modern,Middle,1591,1592,1591-08-09,1592-09-09,1591 Q3,1592 Q3,1591-08,1592-09
Carpathian Kingdom 123,Early Modern,Carpathian Kingdom,East Asia,Asia,Eastern Asia,EARLY MODERN WORLD,Early Modern,Late,1594,1595,1594-03-20,1595-05-28,1594 Q1,1595 Q2,1594-03,1595-05
Danube Federation 124,Early Modern,Danube Federation,South Asia,Asia,Indian Subcontinent,EARLY MODERN WORLD,Early Modern,Early,1598,1600,1598-10-04,1600-01-18,1598 Q4,1600 Q1,1598-10,1600-01
Eurasian Khanate 125,Early Modern,Eurasian Khanate,Middle East,Afro Eurasia,Near East,EARLY MODERN WORLD,Early Modern,Middle,1601,1602,1601-05-15,1602-10-05,1601 Q2,1602 Q4,1601-05,1602-10
Hellenic Commonwealth 126,Early Modern,Hellenic Commonwealth,Sub Saharan Africa,Africa,Central and Southern Africa,EARLY MODERN WORLD,Early Modern,Late,1605,1607,1605-12-26,1607-06-24,1605 Q4,1607 Q2,1605-12,1607-06
